Player,Tm,2023-24
Nick Smith Jr.,CHO,"$2,463,960"
Brice Sensabaugh,UTA,"$2,448,600"
Ty Jerome,CLE,"$2,439,025"
Julian Strawther,DEN,"$2,431,080"
Wendell Moore Jr.,MIN,"$2,421,720"
Kobe Brown,LAC,"$2,413,320"
Luke Kornet,BOS,"$2,413,304"
John Konchar,MEM,"$2,400,000"
Quentin Grimes,NYK,"$2,385,720"
Nikola Jović,MIA,"$2,352,000"
Drew Eubanks,PHO,"$2,346,614"
Keita Bates-Diop,PHO,"$2,346,614"
Yuta Watanabe,PHO,"$2,346,614"
Patrick Baldwin Jr.,WAS,"$2,337,720"
TyTy Washington Jr.,OKC,"$2,320,440"
Jordan McLaughlin,MIN,"$2,320,000"
Bones Hyland,LAC,"$2,306,400"
Peyton Watson,DEN,"$2,303,520"
Cam Thomas,BRK,"$2,240,160"
Vlatko Čančar,DEN,"$2,234,359"
Jaden Springer,PHI,"$2,226,240"
Day'Ron Sharpe,BRK,"$2,210,040"
Santi Aldama,MEM,"$2,194,200"
Jaxson Hayes,LAL,"$2,165,000"
Cam Reddish,LAL,"$2,165,000"
Oshae Brissett,BOS,"$2,165,000"
Andrew Nembhard,IND,"$2,131,905"
Goga Bitadze,ORL,"$2,066,585"
Luka Šamanić,UTA,"$2,066,585"
Isaiah Roby,NYK,"$2,066,585"
DaQuan Jeffries,NYK,"$2,066,585"
Dalano Banton,BOS,"$2,019,706"
Colby Jones,SAC,"$2,019,706"
Jeff Dowtin,TOR,"$2,019,706"
Alex Len,SAC,"$2,019,706"
Bol Bol,PHO,"$2,019,706"
Chimezie Metu,PHO,"$2,019,706"
Montrezl Harrell,PHI,"$2,019,706"
Patrick Beverley,PHI,"$2,019,706"
Mo Bamba,PHI,"$2,019,706"
Cody Zeller,NOP,"$2,019,706"
Jae Crowder,MIL,"$2,019,706"
Malik Beasley,MIL,"$2,019,706"
Robin Lopez,MIL,"$2,019,706"
Dario Šarić,GSW,"$2,019,706"
Cory Joseph,GSW,"$2,019,706"
DeAndre Jordan,DEN,"$2,019,706"
Justin Holiday,DEN,"$2,019,706"
Darius Bazley,BRK,"$2,019,706"
Lonnie Walker IV,BRK,"$2,019,706"
Dennis Smith Jr.,BRK,"$2,019,706"
Wesley Matthews,ATL,"$2,019,706"
Aaron Holiday,HOU,"$2,019,706"
Caleb Houstan,ORL,"$2,000,000"
Jaylin Williams,OKC,"$2,000,000"
Garrison Mathews,ATL,"$2,000,000"
Anthony Gill,WAS,"$1,997,238"
Isaiah Joe,OKC,"$1,997,238"
Sam Merrill,CLE,"$1,997,238"
Naji Marshall,NOP,"$1,930,681"
Xavier Tillman Sr.,MEM,"$1,930,681"
Kenyon Martin Jr.,LAC,"$1,930,681"
Sam Hauser,BOS,"$1,927,896"
Kessler Edwards,SAC,"$1,927,896"
Ish Wainright,PHO,"$1,927,896"
Jericho Sims,NYK,"$1,927,896"
Jordan Goodwin,PHO,"$1,927,896"
Carlik Jones,CHI,"$1,927,896"
Haywood Highsmith,MIA,"$1,902,137"
A.J. Green,MIL,"$1,901,769"
Jeremiah Robinson-Earl,OKC,"$1,900,000"
Trendon Watford,POR,"$1,836,096"
Miles McBride,NYK,"$1,836,096"
Isaiah Todd,MEM,"$1,836,096"
Brandon Boston Jr.,LAC,"$1,836,096"
Isaiah Livers,DET,"$1,836,096"
Aaron Wiggins,OKC,"$1,836,096"
